PCC_w,SEPCC_w,dummies_w,Hstatistic_w,developed_w,undeveloped_w,Logit_w,lnobs_w,citations_w,firstpub_w,quadratic_w,Boone_w,IFrecursive_w,regulation_w,OLS_w,reviewed_journal_w,ownership_w,Concentration_w,FE_w,endogeneity_w,NPL_w,Lerner_w,global_w,HHI_w,macro_w,Zscore_w,RE_w,T_w,DtoD_w,sampleyear_w,GMM_w,someAveraged_w,profit_volat_w,profitability_w,SLS_w,capitalization_w
-0.0027605,0.0015012,0.0416667,0,0,0,0.0416667,0.2767703,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0034722,0.0017361,0.0416667,0,0,0,0.0416667,0.2645475,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0032597,0.0015118,0.0416667,0,0,0,0.0416667,0.2761132,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0030191,0.0013448,0.0416667,0,0,0,0.0416667,0.2859046,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0029417,0.0013449,0.0416667,0,0,0,0.0416667,0.2859046,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0028449,0.0013218,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0030458,0.0013447,0.0416667,0,0,0,0.0416667,0.2859046,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0037838,0.0013194,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0028566,0.0013218,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0041938,0.0013182,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
