PCC,SE PCC,dummies,Zscore,NPL,profitability,profit_volat,lnobs,citations,firstpub,DtoD,quadratic,Lerner,Boone,Hstatistic,Concentration,HHI,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,endogeneity,macro,someAveraged,T,sampleyear,reviewed_journal,regulation,global,ownership,IFrecursive,capitalization
0.174835017,0.033672532,0,1,0,0,0,6.903747258,1.386294361,13,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2.302585093,14,1,0,1,1,0.016,0
-0.061884778,0.031915185,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.005230517,0.031976037,1,0,0,0,0,6.896694332,0.398011002,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.082740954,0.031866829,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.062300923,0.041730877,1,0,0,0,0,6.368187186,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.068852632,0.036283337,1,0,0,0,0,6.642486801,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.094162455,0.042032443,1,0,0,0,0,6.349138991,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.077854207,0.036550501,1,0,0,0,0,6.626717749,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.087086459,0.038343785,1,0,0,0,0,6.530877628,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,1,0.029,0
-0.082294564,0.040754334,1,0,0,0,0,6.411818268,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,1,0.029,0
-0.068771742,0.03247017,1,0,0,0,0,6.86171134,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.067728342,0.032472493,1,0,0,0,0,6.86171134,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.065038743,0.031908771,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.061130029,0.041770433,1,0,0,0,0,6.368187186,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
-0.071794584,0.03629981,1,0,0,0,0,6.642486801,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,0,0.029,0
